Coin,TotalTrades,TotalPnL,AveragePnL,MedianPnL,MaximumPnL,MinimumPnL,TotalVolumeUSD,AverageTradeSize,WinRate,UniqueTraders
GMT,82,225.179237,2.746088256097561,0.0,121.08594,-13.603764,57068.64,695.9590243902439,45.1219512195122,4
LOOM,5,215.057055,43.011410999999995,0.0,191.73843,0.0,1715.72,343.144,40.0,1
ETC,5,205.04848,41.009696000000005,38.32488,96.33874,0.0,1928.3799999999999,385.676,60.0,1
AR,13,203.38219999999998,15.644784615384614,14.89132,28.72,0.0,10309.88,793.0676923076923,84.61538461538461,1
MINA,8,198.7045,24.8380625,12.5314,99.072,0.0,12246.55,1530.81875,87.5,1
DOT,74,193.48789299999999,2.6147012567567565,0.49001400000000006,49.6697,-6.529653,153984.59,2080.872837837838,58.108108108108105,4
CYBER,2,191.5296,95.7648,95.7648,191.5296,0.0,1191.71,595.855,50.0,1
STG,7,179.54376000000002,25.649108571428574,6.52026,96.59895,0.0,10728.33,1532.6185714285714,71.42857142857143,1
RSR,32,165.431328,5.169729,0.7034725,41.367555,-0.38779,19577.24,611.78875,68.75,2
GALA,39,165.3493,4.239725641025641,0.0,54.129075,-1.367586,17966.47,460.678717948718,28.205128205128204,1
REZ,28,163.08528,5.824474285714286,0.000118,35.435022,-3.312088,12262.95,437.96250000000003,50.0,2
@8,276,162.720529,0.589567134057971,0.0,33.240644,-0.298703,44809.65,162.3538043478261,3.6231884057971016,3
DYM,19,122.891343,6.467965421052632,0.0,219.48,-268.72002,14764.33,777.07,31.57894736842105,2
MKR,75,121.799513,1.6239935066666666,0.0,14.293154,-0.265375,20802.95,277.3726666666667,40.0,2
ZK,56,99.656693,1.7795838035714286,0.320021,13.20084,-0.5044,3515.14,62.770357142857144,53.57142857142857,1
ORDI,39,99.593622,2.5536826153846155,0.0,30.190468,0.0,19765.6,506.8102564102564,48.717948717948715,1
BABY,3,98.7298,32.909933333333335,0.00676,98.72304,0.0,3903.33,1301.11,66.66666666666666,1
AI,51,94.826156,1.8593363921568626,0.01018,21.042182,-7.105811,16491.09,323.35470588235296,54.90196078431373,3
ATOM,79,88.234264,1.116889417721519,0.0,17.1702,-9.070542,7665.85,97.03607594936709,44.303797468354425,2
BIO,19,78.286164,4.120324421052632,0.578704,22.307238,0.0,1755.07,92.37210526315789,57.89473684210527,1
RLB,4,75.947736,18.986934,13.48935,48.969036,0.0,1914.8,478.7,50.0,1
@53,4,67.86470700000001,16.966176750000002,16.2721895,35.320328,0.0,69.77000000000001,17.442500000000003,50.0,3
@35,4,67.028127,16.75703175,7.6705445,51.687038,0.0,68.30000000000001,17.075000000000003,50.0,2
GAS,2,60.6139,30.30695,30.30695,60.6139,0.0,739.53,369.765,50.0,1
MYRO,15,53.47767,3.5651780000000004,4.4288,4.5376,0.0,47222.34,3148.156,86.66666666666667,2
@138,4,50.950684,12.737671,9.765152,24.141387,7.278993,109.53999999999999,27.384999999999998,100.0,2
@47,4,50.313458,12.5783645,10.4351685,29.443121,0.0,51.14,12.785,50.0,2
@103,7,38.558036,5.508290857142858,4.494691,14.124759,0.0,40.0,5.714285714285714,57.14285714285714,3
@41,5,36.73844,7.347688,0.0,36.73844,0.0,38.239999999999995,7.647999999999999,20.0,4
SUPER,10,35.197902,3.5197902,0.0,20.992058,0.0,1293.37,129.337,40.0,1
NEIROETH,2,34.161578,17.080789,17.080789,34.161578,0.0,409.70000000000005,204.85000000000002,50.0,1
@38,9,33.271993,3.6968881111111114,0.0,33.271993,0.0,538.6700000000001,59.85222222222223,11.11111111111111,3
@31,3,33.212273,11.070757666666667,0.0,33.212273,0.0,33.61,11.203333333333333,33.33333333333333,2
